tournament_id,year,group_name,team,played,won,drawn,lost,goals_for,goals_against,points,goal_diff,group_rank
WC-1998,1998,Group A,Morocco,3,1,1,1,5,5,4,0,3
WC-1998,1998,Group A,Scotland,3,0,1,2,2,6,1,-4,4
WC-1998,1998,Group B,Italy,3,2,1,0,7,3,7,4,1
WC-1998,1998,Group B,Chile,3,0,3,0,4,4,3,0,2
WC-1998,1998,Group B,Austria,3,0,2,1,3,4,2,-1,3
WC-1998,1998,Group B,Cameroon,3,0,2,1,2,5,2,-3,4
WC-1998,1998,Group C,France,3,3,0,0,9,1,9,8,1
WC-1998,1998,Group C,Denmark,3,1,1,1,3,3,4,0,2
WC-1998,1998,Group C,South Africa,3,0,2,1,3,6,2,-3,3
WC-1998,1998,Group C,Saudi Arabia,3,0,1,2,2,7,1,-5,4
WC-1998,1998,Group D,Nigeria,3,2,0,1,5,5,6,0,1
WC-1998,1998,Group D,Paraguay,3,1,2,0,3,1,5,2,2
WC-1998,1998,Group D,Spain,3,1,1,1,8,4,4,4,3
WC-1998,1998,Group D,Bulgaria,3,0,1,2,1,7,1,-6,4
WC-1998,1998,Group E,Netherlands,3,1,2,0,7,2,5,5,1
WC-1998,1998,Group E,Mexico,3,1,2,0,7,5,5,2,2
WC-1998,1998,Group E,Belgium,3,0,3,0,3,3,3,0,3
WC-1998,1998,Group E,South Korea,3,0,1,2,2,9,1,-7,4
WC-1998,1998,Group F,Germany,3,2,1,0,6,2,7,4,1
WC-1998,1998,Group F,Yugoslavia,3,2,1,0,4,2,7,2,2
WC-1998,1998,Group F,Iran,3,1,0,2,2,4,3,-2,3
WC-1998,1998,Group F,United States,3,0,0,3,1,5,0,-4,4
WC-1998,1998,Group G,Romania,3,2,1,0,4,2,7,2,1
WC-1998,1998,Group G,England,3,2,0,1,5,2,6,3,2
WC-1998,1998,Group G,Colombia,3,1,0,2,1,3,3,-2,3
WC-1998,1998,Group G,Tunisia,3,0,1,2,1,4,1,-3,4
WC-1998,1998,Group H,Argentina,3,3,0,0,7,0,9,7,1
WC-1998,1998,Group H,Croatia,3,2,0,1,4,2,6,2,2
WC-1998,1998,Group H,Jamaica,3,1,0,2,3,9,3,-6,3
WC-1998,1998,Group H,Japan,3,0,0,3,1,4,0,-3,4
WC-2002,2002,Group A,Denmark,3,2,1,0,5,2,7,3,1
WC-2002,2002,Group A,Senegal,3,1,2,0,5,4,5,1,2
WC-2002,2002,Group A,Uruguay,3,0,2,1,4,5,2,-1,3
WC-2002,2002,Group A,France,3,0,1,2,0,3,1,-3,4
WC-2002,2002,Group B,Spain,3,3,0,0,9,4,9,5,1
WC-2002,2002,Group B,Paraguay,3,1,1,1,6,6,4,0,2
WC-2002,2002,Group B,South Africa,3,1,1,1,5,5,4,0,3
WC-2002,2002,Group B,Slovenia,3,0,0,3,2,7,0,-5,4
WC-2002,2002,Group C,Brazil,3,3,0,0,11,3,9,8,1
WC-2002,2002,Group C,Turkey,3,1,1,1,5,3,4,2,2
WC-2002,2002,Group C,Costa Rica,3,1,1,1,5,6,4,-1,3
WC-2002,2002,Group C,China PR,3,0,0,3,0,9,0,-9,4
WC-2002,2002,Group D,South Korea,3,2,1,0,4,1,7,3,1
WC-2002,2002,Group D,United States,3,1,1,1,5,6,4,-1,2
WC-2002,2002,Group D,Portugal,3,1,0,2,6,4,3,2,3
WC-2002,2002,Group D,Poland,3,1,0,2,3,7,3,-4,4
WC-2002,2002,Group E,Germany,3,2,1,0,11,1,7,10,1
WC-2002,2002,Group E,Republic of Ireland,3,1,2,0,5,2,5,3,2
WC-2002,2002,Group E,Cameroon,3,1,1,1,2,3,4,-1,3
WC-2002,2002,Group E,Saudi Arabia,3,0,0,3,0,12,0,-12,4
