tournament_id,tournament_name,year,match_id,match_date,group_name,home_team_name,away_team_name,home_team_score,away_team_score,goal_diff,home_elo,away_elo,elo_gap,scoreline_component,elo_weight,cis
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-21,1966-07-20,Group 1,England,France,2,0,2,1836.01,1619.82,216.19,0.5,0.6631,0.3315
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-22,1966-07-20,Group 2,Germany,Spain,2,1,1,1806.04,1735.15,70.89,0.25,0.8895,0.6671
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-23,1966-07-20,Group 3,Hungary,Bulgaria,3,1,2,1812.49,1659.6,152.89,0.5,0.7617,0.3809
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-24,1966-07-20,Group 4,Russia,Chile,2,1,1,1862.53,1619.71,242.82,0.25,0.6216,0.4662
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-01,1970-05-31,Group 1,Mexico,Russia,0,0,0,1630.99,1856.19,225.2,0.0,0.649,0.649
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-02,1970-06-02,Group 2,Uruguay,Israel,2,0,2,1735.17,1571.0,164.17,0.5,0.7441,0.3721
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-03,1970-06-02,Group 3,England,Romania,1,0,1,1925.97,1649.2,276.77,0.25,0.5687,0.4265
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-04,1970-06-02,Group 4,Peru,Bulgaria,3,2,1,1588.91,1678.54,89.63,0.25,0.8603,0.6452
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-05,1970-06-03,Group 1,Belgium,El Salvador,3,0,3,1641.47,1543.37,98.1,0.75,0.8471,0.2118
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-06,1970-06-03,Group 2,Italy,Sweden,1,0,1,1862.98,1713.57,149.41,0.25,0.7671,0.5754
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-07,1970-06-03,Group 3,Brazil,Czechoslovakia,4,1,3,1881.43,1809.19,72.24,0.75,0.8874,0.2219
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-08,1970-06-03,Group 4,Germany,Morocco,2,1,1,1852.05,1599.24,252.81,0.25,0.606,0.4545
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-09,1970-06-06,Group 1,Russia,Belgium,4,1,3,1856.19,1641.47,214.72,0.75,0.6654,0.1663
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-10,1970-06-06,Group 2,Uruguay,Italy,0,0,0,1735.17,1862.98,127.81,0.0,0.8008,0.8008
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-11,1970-06-06,Group 3,Romania,Czechoslovakia,2,1,1,1649.2,1809.19,159.99,0.25,0.7507,0.563
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-12,1970-06-06,Group 4,Peru,Morocco,3,0,3,1588.91,1599.24,10.33,0.75,0.9839,0.246
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-13,1970-06-07,Group 1,Mexico,El Salvador,4,0,4,1630.99,1543.37,87.62,1.0,0.8634,0.0
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-14,1970-06-07,Group 2,Sweden,Israel,1,1,0,1713.57,1571.0,142.57,0.0,0.7778,0.7778
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-15,1970-06-07,Group 3,Brazil,England,1,0,1,1881.43,1925.97,44.54,0.25,0.9306,0.6979
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-16,1970-06-07,Group 4,Germany,Bulgaria,5,2,3,1852.05,1678.54,173.51,0.75,0.7296,0.1824
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-17,1970-06-10,Group 1,Russia,El Salvador,2,0,2,1856.19,1543.37,312.82,0.5,0.5125,0.2562
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-18,1970-06-10,Group 2,Sweden,Uruguay,1,0,1,1713.57,1735.17,21.6,0.25,0.9663,0.7248
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-19,1970-06-10,Group 3,Brazil,Romania,3,2,1,1881.43,1649.2,232.23,0.25,0.6381,0.4786
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-20,1970-06-10,Group 4,Germany,Peru,3,1,2,1852.05,1588.91,263.14,0.5,0.5899,0.2949
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-21,1970-06-11,Group 1,Mexico,Belgium,1,0,1,1630.99,1641.47,10.48,0.25,0.9837,0.7378
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-22,1970-06-11,Group 2,Italy,Israel,0,0,0,1862.98,1571.0,291.98,0.0,0.5449,0.5449
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-23,1970-06-11,Group 3,England,Czechoslovakia,1,0,1,1925.97,1809.19,116.78,0.25,0.818,0.6135
WC-1970,1970 FIFA Men's World Cup,1970,M-1970-24,1970-06-11,Group 4,Bulgaria,Morocco,1,1,0,1678.54,1599.24,79.3,0.0,0.8764,0.8764
WC-1974,1974 FIFA Men's World Cup,1974,M-1974-01,1974-06-13,Group 2,Brazil,Yugoslavia,0,0,0,1993.7,1793.78,199.92,0.0,0.6884,0.6884
WC-1974,1974 FIFA Men's World Cup,1974,M-1974-02,1974-06-14,Group 1,Germany,Chile,1,0,1,1979.98,1702.02,277.96,0.25,0.5668,0.4251
WC-1974,1974 FIFA Men's World Cup,1974,M-1974-03,1974-06-14,Group 1,East Germany,Australia,2,0,2,,1688.7,,0.5,,
